Bureau Number,Employer Name,Zip Code,Coverage Date
42,BAXTER AUTO ,97217,11/1/2025
270,MOORE TWININ,93716,11/1/2025
637,MORRIS SHAND,90021,11/1/2025
723,COTATI FOOD ,94931,11/1/2025
1407,AV BATTERY M,90650,11/1/2025
2718,DAVIDSON AND,94596,11/1/2025
2997,SHOPPER'S CO,95063,11/1/2025
3210,HIGHLANDS WA,95422,11/1/2025
3218,UNION HOTEL ,95409,11/1/2025   
3492,VINCENT ELEC,94621,11/1/2025
3510,HERITAGE FOO,94533,11/1/2025
4058,SOUTHWESTERN,90220,11/1/2025
4095,C. MONDAVI &,94574,11/1/2025
4389,VISALIA COUN,93278,11/1/2025
4912,SIMON EQUIPM,91006,11/1/2025
5016,BEARING ENGI,94577,11/1/2025
5051,SOUTHLAND CR,90720,11/1/2025
5207,PACIFIC SCHO,94709,11/1/2025
5215,SANTA BARBAR,93108,11/1/2025
5543,LITTLE DIVER,28202,11/1/2025
5997,DBA INLAND C,92408,11/1/2025
6149,ARC LONG BEA,90815,11/1/2025
6193,UNITED THERA,91203,11/1/2025
6598,NEAL FEAY CO,93117,11/1/2025
6737,CHROMALLOY G,10962,11/1/2025
7112,FARMERS COOP,93206,11/1/2025
7409,NEXT STEP LE,97036,11/1/2025
7422,SIGNATURE ES,90067,11/1/2025
7874,ORANGE VALE ,95662,11/1/2025
7972,IN-N-OUT BUR,92612,11/1/2025
8006,VALLEY WATER,91011,11/1/2025
8451,VILLANOVA PR,93023,11/1/2025
9294,CLARENCE BOS,93272,11/1/2025
9367,CONSONUS PHA,97222,11/1/2025
9566,ASPEN RESIDE,93650,11/1/2025
9835,CHICCA BROS/,93206,11/1/2025
10053,FLOTRON,92081,11/1/2025
11012,CALIFORNIA-P,91101,11/1/2025
11415,EDW APFFEL C,90670,11/1/2025
12818,SAN JOAQUIN ,93711,11/1/2025
12895,SUNSET VIEW ,94530,11/1/2025
13032,REDWOOD EMPI,95540,11/1/2025
13067,TURLOCK GOLF,95380,11/1/2025
13214,SAINT HELENA,94574,11/1/2025
13311,"HUBER FARMS,",93630,11/1/2025
13590,WESTRIDGE SC,91105,11/1/2025
13635,SAN DIEGO YA,92106,11/1/2025
14087,WEST COAST C,93927,11/1/2025
14427,MERCY HOUSIN,80202,11/1/2025
14637,SAINTE CLAIR,95112,11/1/2025
14887,GENERAL PROD,95812,11/1/2025
15022,ABILITYPATH ,94065,11/1/2025
15028,WILLIAM DUFF,94103,11/1/2025
15413,GEMOLOGICAL ,92008,11/1/2025
15421,"8 NET, INC.",91748,11/1/2025
15502,GALLI PRODUC,95112,11/1/2025
15589,DANISH ENVIR,78705,11/1/2025
